#SALTICAM filter transmission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled from spreadsheets provided by David Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled by Amanda Gulbis
#,SLOAN,,,,,STROEMGREN,,,,,,,,,Bessell,,,,,,,Hbeta wide (Custom Scientific),,UV,,,H-alpha,
Wavelength(nm),SDSS_up,SDSS_gp,SDSS_rp,SDSS_ip,SDSS_zp,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,Hbeta_wide,SRE_1,SRE_2,SRE_3,SRE_4,CLR-S1,U-S1,B-S1,V-S1,R-S1,I-S1,ND,Wavelength,Hbeta_narrow,Wavelength,340-35,380-40,Wavelength,Halpha-S1
234.5,-0.0006,-0.0009,-0.0012,-0.0004,0.0004,-0.00028, , , , , , , , , , , , , , , ,481.9,4.71E-02,369,8.06E-01,7.26E+01,313.8,6.18E-05
235,0.0001,-0.0011,-0.0003,-0.0017,-0.0008,-0.00151, , , , , , , , , , , , , , , ,482,5.30E-02,370,5.87E-01,7.28E+01,314,9.92E-05
235.5,-0.0004,-0.0003,-0.0008,-0.0011,-0.0008,-0.00246, , , , , , , , , , , , , , , ,482.1,5.94E-02,371,4.38E-01,7.30E+01,314.2,7.51E-05
236,-0.0011,-0.0011,0.0007,0.0004,0.0004,-0.00281, , , , , , , , , , , , , , , ,482.2,6.85E-02,372,3.19E-01,7.34E+01,314.4,0.000145647
236.5,-0.0005,-0.0006,0.0015,0,-0.0013,-0.00304, , , , , , , , , , , , , , , ,482.3,7.72E-02,373,2.39E-01,7.38E+01,314.6,7.28E-05
237,0.0008,0,-0.0007,-0.0003,-0.0012,-0.00339, , , , , , , , , , , , , , , ,482.4,9.11E-02,374,1.80E-01,7.42E+01,314.8,3.58E-05
237.5,-0.0006,-0.0006,-0.0001,-0.0003,-0.0007,-0.00353, , , , , , , , , , , , , , , ,482.5,1.02E-01,375,1.34E-01,7.45E+01,315,0.000163124
238,0.0004,-0.0006,-0.0009,-0.0003,0.0012,-0.0032, , , , , , , , , , , , , , , ,482.6,1.20E-01,376,9.98E-02,7.49E+01,315.2,0.000182224
238.5,-0.0003,-0.0002,-0.0017,-0.0003,-0.0008,-0.00224, , , , , , , , , , , , , , , ,482.7,1.36E-01,377,7.43E-02,7.54E+01,315.4,-6.91E-07
239,-0.0013,-0.001,-0.0002,0,0.0008,-0.00155, , , , , , , , , , , , , , , ,482.8,1.60E-01,378,5.48E-02,7.58E+01,315.6,0.000173091
239.5,-0.0006,-0.0007,-0.0005,-0.0007,-0.0003,-0.00139, , , , , , , , , , , , , , , ,482.9,1.85E-01,379,4.03E-02,7.63E+01,315.8,7.70E-05
240,-0.0013,0.0007,-0.0005,-0.0004,0.001,-0.00183, , , , , , , , , , , , , , , ,483,2.16E-01,380,2.88E-02,7.67E+01,316,0.000154302
240.5,-0.0008,-0.001,-0.0006,-0.0006,0,-0.00202, , , , , , , , , , , , , , , ,483.1,2.53E-01,381,2.06E-02,7.71E+01,316.2,6.87E-05
241,-0.0008,-0.0003,-0.001,-0.0009,-0.0001,-0.00112, , , , , , , , , , , , , , , ,483.2,3.02E-01,382,1.41E-02,7.74E+01,316.4,8.12E-05
241.5,0.0003,0.001,0.0001,0,0.0007,-0.00022, , , , , , , , , , , , , , , ,483.3,3.54E-01,383,9.78E-03,7.77E+01,316.6,0.0001163
242,-0.0011,0.0002,-0.0002,-0.0005,0,-0.00011, , , , , , , , , , , , , , , ,483.4,4.19E-01,384,6.53E-03,7.80E+01,316.8,5.53E-05
242.5,-0.0008,-0.0003,0.0003,-0.0001,0.0003,-0.00056, , , , , , , , , , , , , , , ,483.5,5.05E-01,385,4.29E-03,7.82E+01,317,9.62E-05
243,0.0004,-0.0009,0.0004,-0.0005,-0.0001,-0.0012, , , , , , , , , , , , , , , ,483.6,6.03E-01,386,2.71E-03,7.84E+01,317.2,8.57E-05
243.5,-0.0009,0,0.0014,-0.0002,-0.0007,-0.00195, , , , , , , , , , , , , , , ,483.7,7.44E-01,387,1.79E-03,7.85E+01,317.4,9.01E-05
244,0,-0.0001,0.0014,0.0001,0.0014,-0.00239, , , , , , , , , , , , , , , ,483.8,8.92E-01,388,9.20E-04,7.85E+01,317.6,0.000234707
244.5,-0.001,-0.0009,-0.0004,-0.0007,-0.0009,-0.00318, , , , , , , , , , , , , , , ,483.9,1.12E+00,389,5.47E-04,7.84E+01,317.8,-1.88E-05
245,-0.001,0.0001,-0.0003,0,-0.0008,-0.00356, , , , , , , , , , , , , , , ,484,1.36E+00,390,3.33E-04,7.82E+01,318,0.000131137
245.5,0.0001,-0.0011,0.0005,-0.0011,0.0009,-0.0034, , , , , , , , , , , , , , , ,484.1,1.71E+00,391,1.67E-04,7.79E+01,318.2,6.30E-05
